iter	Passed	Remaining
0	131	13019
1	133	6542
2	135	4374
3	137	3291
4	139	2647
5	141	2210
6	143	1901
7	145	1671
8	147	1487
9	148	1340
10	150	1218
11	152	1116
12	153	1027
13	155	952
14	156	885
15	157	827
16	158	774
17	159	727
18	160	684
19	161	645
20	162	610
21	163	578
22	164	549
23	165	522
24	166	498
25	166	475
26	167	453
27	168	433
28	169	415
29	170	398
30	171	382
31	172	367
32	173	352
33	174	338
34	175	325
35	176	313
36	177	301
37	178	290
38	178	279
39	179	269
40	180	260
41	181	250
42	182	241
43	183	233
44	184	224
45	184	217
46	186	209
47	186	202
48	187	195
49	188	188
50	189	182
51	190	175
52	191	169
53	192	163
54	193	158
55	194	152
56	195	147
57	196	141
58	196	136
59	197	131
60	198	126
61	199	122
62	200	117
63	201	113
64	202	108
65	203	104
66	203	100
67	204	96
68	205	92
69	206	88
70	207	84
71	208	81
72	209	77
73	210	73
74	211	70
75	211	66
76	212	63
77	213	60
78	214	56
79	214	53
80	216	50
81	216	47
82	217	44
83	218	41
84	219	38
85	220	35
86	221	33
87	222	30
88	223	27
89	224	24
90	225	22
91	226	19
92	227	17
93	228	14
94	229	12
95	230	9
96	231	7
97	232	4
98	233	2
99	234	0
