iter	Passed	Remaining
0	142	142150
1	143	71528
2	144	47922
3	145	36150
4	146	29063
5	147	24440
6	148	21093
7	149	18563
8	150	16616
9	151	15029
10	152	13725
11	153	12642
12	154	11732
13	155	10943
14	156	10259
15	157	9659
16	158	9139
17	159	8674
18	160	8284
19	161	7918
20	162	7585
21	163	7273
22	164	6999
23	165	6741
24	166	6505
25	167	6281
26	168	6078
27	169	5883
28	170	5704
29	171	5543
30	172	5392
31	173	5246
32	174	5108
33	175	4989
34	176	4870
35	178	4768
36	178	4656
37	180	4557
38	181	4467
39	182	4373
40	183	4288
41	184	4208
42	185	4125
43	186	4050
44	187	3976
45	188	3903
46	189	3836
47	190	3777
48	191	3715
49	192	3657
50	193	3600
51	194	3541
52	195	3489
53	196	3437
54	196	3384
55	197	3333
56	198	3286
57	199	3240
58	200	3195
59	201	3152
60	202	3110
61	203	3072
62	204	3038
63	205	3002
64	206	2966
65	207	2932
66	208	2899
67	209	2866
68	210	2834
69	210	2802
70	211	2770
71	212	2740
72	213	2710
73	214	2682
74	215	2654
75	216	2628
76	217	2602
77	218	2579
78	219	2558
79	220	2533
80	221	2509
81	222	2486
82	222	2459
83	223	2437
84	224	2415
85	225	2394
86	226	2372
87	226	2351
88	227	2331
89	228	2312
90	229	2293
91	230	2273
92	231	2254
93	231	2235
94	233	2219
95	234	2204
96	234	2187
97	235	2171
98	236	2153
99	237	2137
100	238	2121
101	239	2106
102	240	2091
103	241	2077
104	241	2062
105	242	2048
106	243	2034
107	244	2019
108	245	2006
109	246	1992
110	247	1979
111	248	1967
112	249	1955
113	249	1942
114	250	1929
115	251	1917
116	252	1904
117	253	1892
118	253	1879
119	254	1867
120	255	1856
121	256	1843
122	257	1832
123	257	1821
124	258	1810
125	259	1799
126	259	1787
127	260	1777
128	261	1766
129	262	1757
130	263	1748
131	264	1738
132	265	1728
133	266	1720
134	267	1710
135	267	1701
136	268	1692
137	269	1683
138	270	1674
139	271	1665
140	272	1657
141	272	1646
142	273	1638
143	274	1630
144	275	1621
145	275	1613
146	276	1605
147	277	1596
148	278	1590
149	279	1582
150	280	1575
151	281	1567
152	281	1560
153	282	1553
154	283	1545
155	284	1539
156	285	1531
157	286	1524
158	286	1517
159	287	1510
160	288	1502
161	289	1496
162	290	1489
163	290	1482
164	291	1476
165	292	1469
166	293	1463
167	294	1457
168	295	1451
169	296	1445
170	296	1439
171	297	1433
172	298	1427
173	299	1421
174	300	1415
175	301	1409
176	301	1403
177	302	1397
178	303	1392
179	304	1386
180	305	1381
181	306	1375
182	306	1369
183	307	1364
184	308	1359
185	309	1353
186	310	1348
187	310	1342
188	311	1338
189	312	1332
190	313	1327
191	314	1322
192	315	1317
193	315	1312
194	316	1307
195	317	1302
196	318	1297
197	319	1293
198	320	1288
199	320	1283
200	321	1278
201	322	1274
202	323	1270
203	324	1266
204	325	1262
205	326	1257
206	327	1253
207	328	1249
208	328	1245
209	329	1241
210	330	1237
211	331	1232
212	332	1228
213	333	1223
214	334	1219
215	334	1215
216	335	1211
217	336	1207
218	337	1202
219	338	1198
220	339	1195
221	340	1191
222	340	1187
223	341	1183
224	342	1178
225	343	1175
226	344	1171
227	344	1167
228	345	1164
229	346	1161
230	347	1157
231	348	1153
232	349	1150
233	350	1146
234	351	1142
235	351	1139
236	352	1135
237	353	1132
238	354	1129
239	355	1126
240	356	1122
241	357	1119
242	358	1115
243	359	1112
244	360	1109
245	361	1106
246	361	1103
247	362	1100
248	363	1096
249	364	1093
250	365	1090
251	366	1086
252	367	1083
253	367	1080
254	369	1078
255	369	1074
256	370	1072
257	371	1069
258	372	1066
259	373	1063
260	374	1060
261	375	1057
262	376	1054
263	377	1051
264	378	1048
265	378	1045
266	379	1042
267	380	1039
268	381	1036
269	382	1033
270	383	1030
271	384	1028
272	385	1025
273	385	1022
274	386	1019
275	387	1017
276	388	1014
277	389	1011
278	390	1008
279	391	1006
280	392	1003
281	392	1000
282	393	997
283	394	994
284	395	992
285	396	989
286	397	986
287	397	983
288	398	981
289	399	979
290	400	976
291	401	974
292	402	971
